record_id,site_id,reading_date,energy_kwh,emissions_co2e
EN-20260822-001-514,SITE-001,2026-08-22,1846.46,618.66
EN-20260822-002-811,SITE-002,2026-08-22,11122.25,3825.46
EN-20260822-003-230,SITE-003,2026-08-22,12128.37,4135.78
EN-20260822-004-331,SITE-004,2026-08-22,7052.58,424.19
EN-20260822-005-118,SITE-005,2026-08-22,2082.02,125.78
EN-20260822-006-803,SITE-006,2026-08-22,6098.88,1271.64
EN-20260822-007-528,SITE-007,2026-08-22,12701.5,2632.4
EN-20260822-008-727,SITE-008,2026-08-22,1189.87,397.1
EN-20260822-009-867,SITE-009,2026-08-22,1548.38,292.8
EN-20260822-010-639,SITE-010,2026-08-22,1415.61,1119.5
EN-20260822-011-576,SITE-011,2026-08-22,2067.81,775.9
EN-20260822-012-773,SITE-012,2026-08-22,1643.41,595.92
EN-20260822-013-292,SITE-013,2026-08-22,1010,379.41
EN-20260822-014-459,SITE-014,2026-08-22,13984.45,1786.02
EN-20260822-015-363,SITE-015,2026-08-22,2841.4,1237.17
EN-20260822-016-347,SITE-016,2026-08-22,9059.61,6347.84
EN-20260822-017-495,SITE-017,2026-08-22,2453.57,1739.6
EN-20260822-018-315,SITE-018,2026-08-22,7912.59,5604.93
EN-20260822-019-182,SITE-019,2026-08-22,976.53,417.77
EN-20260822-020-413,SITE-020,2026-08-22,3001.56,1419.09
EN-20260822-021-136,SITE-021,2026-08-22,1840.33,1205.86
EN-20260822-022-474,SITE-022,2026-08-22,11751.89,1046.29
EN-20260822-023-904,SITE-023,2026-08-22,1071.58,329.24
EN-20260822-024-857,SITE-024,2026-08-22,11644.2,3977.68
