record_id,site_id,reading_date,emissions_co2e,scope
CE-20260825-001-860,SITE-001,2026-08-25,791.54,Scope 1+2
CE-20260825-002-572,SITE-002,2026-08-25,1828.72,Scope 1+2
CE-20260825-003-184,SITE-003,2026-08-25,3860.35,Scope 1+2
CE-20260825-004-564,SITE-004,2026-08-25,522.38,Scope 1+2
CE-20260825-005-206,SITE-005,2026-08-25,75.44,Scope 1+2
CE-20260825-006-707,SITE-006,2026-08-25,2208.01,Scope 1+2
CE-20260825-007-349,SITE-007,2026-08-25,2549.19,Scope 1+2
CE-20260825-008-852,SITE-008,2026-08-25,310.82,Scope 1+2
CE-20260825-009-487,SITE-009,2026-08-25,695.06,Scope 1+2
CE-20260825-010-323,SITE-010,2026-08-25,1103.19,Scope 1+2
CE-20260825-011-214,SITE-011,2026-08-25,1121.2,Scope 1+2
CE-20260825-012-784,SITE-012,2026-08-25,486.96,Scope 1+2
CE-20260825-013-512,SITE-013,2026-08-25,513.14,Scope 1+2
CE-20260825-014-219,SITE-014,2026-08-25,1892.5,Scope 1+2
CE-20260825-015-409,SITE-015,2026-08-25,896.52,Scope 1+2
CE-20260825-016-593,SITE-016,2026-08-25,6076.15,Scope 1+2
CE-20260825-017-817,SITE-017,2026-08-25,1328.44,Scope 1+2
CE-20260825-018-448,SITE-018,2026-08-25,8015.56,Scope 1+2
CE-20260825-019-397,SITE-019,2026-08-25,423.88,Scope 1+2
CE-20260825-020-221,SITE-020,2026-08-25,1651.17,Scope 1+2
CE-20260825-021-540,SITE-021,2026-08-25,606.5,Scope 1+2
CE-20260825-022-355,SITE-022,2026-08-25,799.08,Scope 1+2
CE-20260825-023-271,SITE-023,2026-08-25,413.08,Scope 1+2
CE-20260825-024-500,SITE-024,2026-08-25,3747.87,Scope 1+2
