record_id,site_id,reading_date,energy_kwh,emissions_co2e
EN-20260819-001-129,SITE-001,2026-08-19,927.57,317.93
EN-20260819-002-632,SITE-002,2026-08-19,7484.82,2554.77
EN-20260819-003-979,SITE-003,2026-08-19,9533.7,3178.81
EN-20260819-004-405,SITE-004,2026-08-19,6567.31,397.87
EN-20260819-005-104,SITE-005,2026-08-19,2176.76,129.44
EN-20260819-006-490,SITE-006,2026-08-19,6228.96,1317.06
EN-20260819-007-349,SITE-007,2026-08-19,8509.86,1790.52
EN-20260819-008-355,SITE-008,2026-08-19,1662.93,553.68
EN-20260819-009-924,SITE-009,2026-08-19,3460.2,650.08
EN-20260819-010-875,SITE-010,2026-08-19,1009.73,801.89
EN-20260819-011-611,SITE-011,2026-08-19,1907.73,712.19
EN-20260819-012-221,SITE-012,2026-08-19,1591.8,577.96
EN-20260819-013-104,SITE-013,2026-08-19,694.07,260.18
EN-20260819-014-555,SITE-014,2026-08-19,13241.36,1754.97
EN-20260819-015-242,SITE-015,2026-08-19,3044.22,1338.86
EN-20260819-016-295,SITE-016,2026-08-19,8720.2,6091.12
EN-20260819-017-629,SITE-017,2026-08-19,3843.82,2699.83
EN-20260819-018-656,SITE-018,2026-08-19,8216.37,5846.97
EN-20260819-019-487,SITE-019,2026-08-19,1633.97,676.79
EN-20260819-020-877,SITE-020,2026-08-19,2480.42,1171.19
EN-20260819-021-147,SITE-021,2026-08-19,1415.61,952.5
EN-20260819-022-428,SITE-022,2026-08-19,13320.25,1211.73
EN-20260819-023-954,SITE-023,2026-08-19,1253.36,390.34
EN-20260819-024-931,SITE-024,2026-08-19,9678.73,3328.17
EN-20260819-001-129,SITE-001,2026-08-19,927.57,317.93
EN-20260819-002-632,SITE-002,2026-08-19,7484.82,2554.77
