record_id,site_id,reading_date,emissions_co2e,scope
CE-20260819-001-816,SITE-001,2026-08-19,316.58,Scope 1+2
CE-20260819-002-583,SITE-002,2026-08-19,2542.89,Scope 1+2
CE-20260819-003-422,SITE-003,2026-08-19,3186.8,Scope 1+2
CE-20260819-004-308,SITE-004,2026-08-19,398.6,Scope 1+2
CE-20260819-005-293,SITE-005,2026-08-19,128.74,Scope 1+2
CE-20260819-006-203,SITE-006,2026-08-19,1315.92,Scope 1+2
CE-20260819-007-250,SITE-007,2026-08-19,1774.66,Scope 1+2
CE-20260819-008-241,SITE-008,2026-08-19,553.72,Scope 1+2
CE-20260819-009-907,SITE-009,2026-08-19,651.71,Scope 1+2
CE-20260819-010-444,SITE-010,2026-08-19,800.49,Scope 1+2
CE-20260819-011-967,SITE-011,2026-08-19,715.49,Scope 1+2
CE-20260819-012-127,SITE-012,2026-08-19,573.15,Scope 1+2
CE-20260819-013-395,SITE-013,2026-08-19,258.21,Scope 1+2
CE-20260819-014-636,SITE-014,2026-08-19,1750.91,Scope 1+2
CE-20260819-015-693,SITE-015,2026-08-19,1349.01,Scope 1+2
CE-20260819-016-201,SITE-016,2026-08-19,6137.27,Scope 1+2
CE-20260819-017-426,SITE-017,2026-08-19,2699.98,Scope 1+2
CE-20260819-018-535,SITE-018,2026-08-19,5835.62,Scope 1+2
CE-20260819-019-644,SITE-019,2026-08-19,682.99,Scope 1+2
CE-20260819-020-135,SITE-020,2026-08-19,1163.98,Scope 1+2
CE-20260819-021-798,SITE-021,2026-08-19,946.84,Scope 1+2
CE-20260819-022-727,SITE-022,2026-08-19,1206.2,Scope 1+2
CE-20260819-023-135,SITE-023,2026-08-19,389.93,Scope 1+2
CE-20260819-024-471,SITE-024,2026-08-19,3357.85,Scope 1+2
