record_id,site_id,reading_date,energy_kwh,emissions_co2e
EN-20260828-001-574,SITE-001,2026-08-28,1154.93,385.13
EN-20260828-002-205,SITE-002,2026-08-28,11505.89,3945.47
EN-20260828-003-431,SITE-003,2026-08-28,12995.56,4408.37
EN-20260828-004-617,SITE-004,2026-08-28,9151.05,543.47
EN-20260828-005-451,SITE-005,2026-08-28,1987.88,119.17
EN-20260828-006-644,SITE-006,2026-08-28,8354.94,1731.69
EN-20260828-007-880,SITE-007,2026-08-28,12949.05,2693.8
EN-20260828-008-101,SITE-008,2026-08-28,2235.31,744.08
EN-20260828-009-616,SITE-009,2026-08-28,1946.43,369.05
EN-20260828-010-993,SITE-010,2026-08-28,1308.3,1020
EN-20260828-011-716,SITE-011,2026-08-28,3386.55,1274.89
EN-20260828-012-523,SITE-012,2026-08-28,1025.61,376.33
EN-20260828-013-480,SITE-013,2026-08-28,1011.43,375.1
EN-20260828-014-235,SITE-014,2026-08-28,12285.96,1596.9
EN-20260828-015-830,SITE-015,2026-08-28,2717.39,1175.04
EN-20260828-016-731,SITE-016,2026-08-28,13757.18,9920.42
EN-20260828-017-728,SITE-017,2026-08-28,3978.23,2775.97
EN-20260828-018-378,SITE-018,2026-08-28,9311.65,6669.35
EN-20260828-019-690,SITE-019,2026-08-28,1052.85,448.72
EN-20260828-020-977,SITE-020,2026-08-28,2123.52,1015.14
EN-20260828-021-115,SITE-021,2026-08-28,1103.78,729.51
EN-20260828-022-276,SITE-022,2026-08-28,12691.28,1153.8
EN-20260828-023-226,SITE-023,2026-08-28,1221.06,380.91
EN-20260828-024-519,SITE-024,2026-08-28,9297.81,3212.75
EN-20260828-001-574,SITE-001,2026-08-28,1154.93,385.13
EN-20260828-002-205,SITE-002,2026-08-28,11505.89,3945.47
