record_id,site_id,reading_date,energy_kwh,emissions_co2e
EN-20260824-001-381,SITE-001,2026-08-24,2484.02,851.55
EN-20260824-002-419,SITE-002,2026-08-24,5723.16,1935.21
EN-20260824-003-749,SITE-003,2026-08-24,13463.75,4498.02
EN-20260824-004-940,SITE-004,2026-08-24,9087.85,546.22
EN-20260824-005-130,SITE-005,2026-08-24,1474.01,87.04
EN-20260824-006-244,SITE-006,2026-08-24,11026.06,2358.89
EN-20260824-007-349,SITE-007,2026-08-24,13894.12,2871.3
EN-20260824-008-927,SITE-008,2026-08-24,1653.05,547.55
EN-20260824-009-616,SITE-009,2026-08-24,2230.52,422.55
EN-20260824-010-364,SITE-010,2026-08-24,1258.23,994.34
EN-20260824-011-259,SITE-011,2026-08-24,2716.72,1005.87
EN-20260824-012-174,SITE-012,2026-08-24,1391.05,509.1
EN-20260824-013-582,SITE-013,2026-08-24,620.23,230.03
EN-20260824-014-867,SITE-014,2026-08-24,10987.17,1452.33
EN-20260824-015-152,SITE-015,2026-08-24,3715.06,1643.98
EN-20260824-016-172,SITE-016,2026-08-24,14350.4,10384.28
EN-20260824-017-518,SITE-017,2026-08-24,2448.32,1768.97
EN-20260824-018-366,SITE-018,2026-08-24,5936.13,4151.2
EN-20260824-019-631,SITE-019,2026-08-24,1455.79,602.72
EN-20260824-020-180,SITE-020,2026-08-24,2422.76,1116.62
EN-20260824-021-142,SITE-021,2026-08-24,1702.98,1114.99
EN-20260824-022-512,SITE-022,2026-08-24,11625.71,1028.53
EN-20260824-023-985,SITE-023,2026-08-24,1843.57,561.96
EN-20260824-024-746,SITE-024,2026-08-24,10202.49,3408.08
