record_id,site_id,reading_date,emissions_co2e,scope
CE-20260826-001-568,SITE-001,2026-08-26,351.18,Scope 1+2
CE-20260826-002-670,SITE-002,2026-08-26,3798.72,Scope 1+2
CE-20260826-003-894,SITE-003,2026-08-26,2673.25,Scope 1+2
CE-20260826-004-990,SITE-004,2026-08-26,536.52,Scope 1+2
CE-20260826-005-325,SITE-005,2026-08-26,69.4,Scope 1+2
CE-20260826-006-568,SITE-006,2026-08-26,1402.99,Scope 1+2
CE-20260826-007-183,SITE-007,2026-08-26,2521.44,Scope 1+2
CE-20260826-008-300,SITE-008,2026-08-26,432.94,Scope 1+2
CE-20260826-009-754,SITE-009,2026-08-26,511.16,Scope 1+2
CE-20260826-010-239,SITE-010,2026-08-26,950.13,Scope 1+2
CE-20260826-011-366,SITE-011,2026-08-26,951.33,Scope 1+2
CE-20260826-012-900,SITE-012,2026-08-26,397.65,Scope 1+2
CE-20260826-013-725,SITE-013,2026-08-26,269.2,Scope 1+2
CE-20260826-014-173,SITE-014,2026-08-26,1042.49,Scope 1+2
CE-20260826-015-782,SITE-015,2026-08-26,1497.27,Scope 1+2
CE-20260826-016-826,SITE-016,2026-08-26,9819.71,Scope 1+2
CE-20260826-017-537,SITE-017,2026-08-26,1252.58,Scope 1+2
CE-20260826-018-922,SITE-018,2026-08-26,4178.65,Scope 1+2
CE-20260826-019-403,SITE-019,2026-08-26,730.99,Scope 1+2
CE-20260826-020-901,SITE-020,2026-08-26,1491.24,Scope 1+2
CE-20260826-021-443,SITE-021,2026-08-26,579.61,Scope 1+2
CE-20260826-022-705,SITE-022,2026-08-26,1234.54,Scope 1+2
CE-20260826-023-313,SITE-023,2026-08-26,290.28,Scope 1+2
CE-20260826-024-553,SITE-024,2026-08-26,4672.53,Scope 1+2
