record_id,site_id,reading_date,emissions_co2e,scope
CE-20260829-001-578,SITE-001,2026-08-29,806.28,Scope 1+2
CE-20260829-002-746,SITE-002,2026-08-29,3796.33,Scope 1+2
CE-20260829-003-440,SITE-003,2026-08-29,2862.95,Scope 1+2
CE-20260829-004-296,SITE-004,2026-08-29,611.04,Scope 1+2
CE-20260829-005-567,SITE-005,2026-08-29,64.94,Scope 1+2
CE-20260829-006-686,SITE-006,2026-08-29,1482.53,Scope 1+2
CE-20260829-007-198,SITE-007,2026-08-29,2730.38,Scope 1+2
CE-20260829-008-762,SITE-008,2026-08-29,648.21,Scope 1+2
CE-20260829-009-352,SITE-009,2026-08-29,461.14,Scope 1+2
CE-20260829-010-760,SITE-010,2026-08-29,723.94,Scope 1+2
CE-20260829-011-861,SITE-011,2026-08-29,1214.29,Scope 1+2
CE-20260829-012-309,SITE-012,2026-08-29,661.1,Scope 1+2
CE-20260829-013-150,SITE-013,2026-08-29,286.79,Scope 1+2
CE-20260829-014-739,SITE-014,2026-08-29,1204.97,Scope 1+2
CE-20260829-015-415,SITE-015,2026-08-29,1585.53,Scope 1+2
CE-20260829-016-398,SITE-016,2026-08-29,8834.31,Scope 1+2
CE-20260829-017-481,SITE-017,2026-08-29,2430.89,Scope 1+2
CE-20260829-018-278,SITE-018,2026-08-29,6928.82,Scope 1+2
CE-20260829-019-392,SITE-019,2026-08-29,773.64,Scope 1+2
CE-20260829-020-697,SITE-020,2026-08-29,1621.17,Scope 1+2
CE-20260829-021-387,SITE-021,2026-08-29,1039.41,Scope 1+2
CE-20260829-022-557,SITE-022,2026-08-29,1027.64,Scope 1+2
CE-20260829-023-234,SITE-023,2026-08-29,360.79,Scope 1+2
CE-20260829-024-307,SITE-024,2026-08-29,4763.56,Scope 1+2
