record_id,site_id,reading_date,energy_kwh,emissions_co2e
EN-20260820-001-112,SITE-001,2026-08-20,1839.48,630.81
EN-20260820-002-632,SITE-002,2026-08-20,11399.43,3830.73
EN-20260820-003-603,SITE-003,2026-08-20,11410.71,3842.77
EN-20260820-004-949,SITE-004,2026-08-20,11551.69,697.68
EN-20260820-005-534,SITE-005,2026-08-20,2379.74,143.11
EN-20260820-006-196,SITE-006,2026-08-20,10088.21,2133.89
EN-20260820-007-643,SITE-007,2026-08-20,13376.76,2765.92
EN-20260820-008-544,SITE-008,2026-08-20,1448.5,487.37
EN-20260820-009-772,SITE-009,2026-08-20,3281.17,624.96
EN-20260820-010-169,SITE-010,2026-08-20,1566.97,1234.68
EN-20260820-011-877,SITE-011,2026-08-20,1973.94,737.42
EN-20260820-012-364,SITE-012,2026-08-20,1177.85,431.01
EN-20260820-013-145,SITE-013,2026-08-20,726.23,269.57
EN-20260820-014-916,SITE-014,2026-08-20,14028.14,1811.04
EN-20260820-015-994,SITE-015,2026-08-20,3129.3,1396.71
EN-20260820-016-384,SITE-016,2026-08-20,13116.67,9474.81
EN-20260820-017-556,SITE-017,2026-08-20,2933.66,2065.5
EN-20260820-018-554,SITE-018,2026-08-20,9520.95,6827.44
EN-20260820-019-787,SITE-019,2026-08-20,1903.8,809.89
EN-20260820-020-493,SITE-020,2026-08-20,3843.52,1796.06
EN-20260820-021-379,SITE-021,2026-08-20,1557.6,1036.64
EN-20260820-022-594,SITE-022,2026-08-20,9228.91,844.42
EN-20260820-023-782,SITE-023,2026-08-20,1096.91,339.22
EN-20260820-024-374,SITE-024,2026-08-20,13148.24,4538.69
