record_id,site_id,reading_date,emissions_co2e,scope
CE-20260817-001-362,SITE-001,2026-08-17,772.56,Scope 1+2
CE-20260817-002-403,SITE-002,2026-08-17,2744.59,Scope 1+2
CE-20260817-003-351,SITE-003,2026-08-17,3979.39,Scope 1+2
CE-20260817-004-476,SITE-004,2026-08-17,339.97,Scope 1+2
CE-20260817-005-784,SITE-005,2026-08-17,134.79,Scope 1+2
CE-20260817-006-361,SITE-006,2026-08-17,2360.45,Scope 1+2
CE-20260817-007-110,SITE-007,2026-08-17,1752.13,Scope 1+2
CE-20260817-008-985,SITE-008,2026-08-17,691.8,Scope 1+2
CE-20260817-009-874,SITE-009,2026-08-17,618.07,Scope 1+2
CE-20260817-010-910,SITE-010,2026-08-17,844.84,Scope 1+2
CE-20260817-011-379,SITE-011,2026-08-17,1308.57,Scope 1+2
CE-20260817-012-779,SITE-012,2026-08-17,677.63,Scope 1+2
CE-20260817-013-332,SITE-013,2026-08-17,365.27,Scope 1+2
CE-20260817-014-566,SITE-014,2026-08-17,1350.93,Scope 1+2
CE-20260817-015-889,SITE-015,2026-08-17,1049.68,Scope 1+2
CE-20260817-016-138,SITE-016,2026-08-17,5779.85,Scope 1+2
CE-20260817-017-769,SITE-017,2026-08-17,1495.58,Scope 1+2
CE-20260817-018-789,SITE-018,2026-08-17,6185.57,Scope 1+2
CE-20260817-019-857,SITE-019,2026-08-17,370.48,Scope 1+2
CE-20260817-020-314,SITE-020,2026-08-17,1675.26,Scope 1+2
CE-20260817-021-672,SITE-021,2026-08-17,619.28,Scope 1+2
CE-20260817-022-448,SITE-022,2026-08-17,890.03,Scope 1+2
CE-20260817-023-579,SITE-023,2026-08-17,535.07,Scope 1+2
CE-20260817-024-723,SITE-024,2026-08-17,3898.81,Scope 1+2
