record_id,site_id,reading_date,energy_kwh,emissions_co2e
EN-20260827-001-682,SITE-001,2026-08-27,1111.37,385.06
EN-20260827-002-479,SITE-002,2026-08-27,10266.15,3458.65
EN-20260827-003-448,SITE-003,2026-08-27,10344.59,3582.76
EN-20260827-004-995,SITE-004,2026-08-27,8839.82,534.19
EN-20260827-005-526,SITE-005,2026-08-27,2055.7,125.05
EN-20260827-006-263,SITE-006,2026-08-27,5041.49,1045.31
EN-20260827-007-312,SITE-007,2026-08-27,11286.26,2399.99
EN-20260827-008-177,SITE-008,2026-08-27,1200.45,396.32
EN-20260827-009-409,SITE-009,2026-08-27,2867.79,545.9
EN-20260827-010-952,SITE-010,2026-08-27,1514.01,1193.89
EN-20260827-011-303,SITE-011,2026-08-27,2107.48,767.17
EN-20260827-012-523,SITE-012,2026-08-27,1074.88,398.54
EN-20260827-013-493,SITE-013,2026-08-27,1510.26,549.2
EN-20260827-014-571,SITE-014,2026-08-27,11170.54,1459.37
EN-20260827-015-738,SITE-015,2026-08-27,2612.25,1129.78
EN-20260827-016-419,SITE-016,2026-08-27,10240.51,7311.9
EN-20260827-017-853,SITE-017,2026-08-27,2745.06,1937.27
EN-20260827-018-993,SITE-018,2026-08-27,6151.45,4326.47
EN-20260827-019-931,SITE-019,2026-08-27,1190.24,495.01
EN-20260827-020-598,SITE-020,2026-08-27,2813.95,1346.6
EN-20260827-021-118,SITE-021,2026-08-27,1327.09,892.66
EN-20260827-022-477,SITE-022,2026-08-27,13554.37,1227.27
EN-20260827-023-748,SITE-023,2026-08-27,1993.15,618.05
EN-20260827-024-426,SITE-024,2026-08-27,11795.8,4045.04
