record_id,site_id,reading_date,emissions_co2e,scope
CE-20260820-001-356,SITE-001,2026-08-20,629.08,Scope 1+2
CE-20260820-002-461,SITE-002,2026-08-20,3844.33,Scope 1+2
CE-20260820-003-123,SITE-003,2026-08-20,3853.01,Scope 1+2
CE-20260820-004-683,SITE-004,2026-08-20,698.15,Scope 1+2
CE-20260820-005-431,SITE-005,2026-08-20,144.12,Scope 1+2
CE-20260820-006-166,SITE-006,2026-08-20,2131.98,Scope 1+2
CE-20260820-007-661,SITE-007,2026-08-20,2745.17,Scope 1+2
CE-20260820-008-740,SITE-008,2026-08-20,487.73,Scope 1+2
CE-20260820-009-946,SITE-009,2026-08-20,630.3,Scope 1+2
CE-20260820-010-302,SITE-010,2026-08-20,1222.99,Scope 1+2
CE-20260820-011-308,SITE-011,2026-08-20,740.37,Scope 1+2
CE-20260820-012-776,SITE-012,2026-08-20,427.5,Scope 1+2
CE-20260820-013-829,SITE-013,2026-08-20,271.49,Scope 1+2
CE-20260820-014-314,SITE-014,2026-08-20,1811.82,Scope 1+2
CE-20260820-015-922,SITE-015,2026-08-20,1403.26,Scope 1+2
CE-20260820-016-371,SITE-016,2026-08-20,9523.93,Scope 1+2
CE-20260820-017-377,SITE-017,2026-08-20,2081.62,Scope 1+2
CE-20260820-018-566,SITE-018,2026-08-20,6832.69,Scope 1+2
CE-20260820-019-367,SITE-019,2026-08-20,802.79,Scope 1+2
CE-20260820-020-784,SITE-020,2026-08-20,1778.82,Scope 1+2
CE-20260820-021-848,SITE-021,2026-08-20,1045.84,Scope 1+2
CE-20260820-022-376,SITE-022,2026-08-20,844.42,Scope 1+2
CE-20260820-023-648,SITE-023,2026-08-20,340.3,Scope 1+2
CE-20260820-024-611,SITE-024,2026-08-20,4508.28,Scope 1+2
