record_id,site_id,reading_date,energy_kwh,emissions_co2e
EN-20260829-001-734,SITE-001,2026-08-29,2369.71,811.76
EN-20260829-002-350,SITE-002,2026-08-29,10962.97,3794.36
EN-20260829-003-282,SITE-003,2026-08-29,8510.15,2868.84
EN-20260829-004-342,SITE-004,2026-08-29,10327.4,614.78
EN-20260829-005-528,SITE-005,2026-08-29,1097.85,64.69
EN-20260829-006-400,SITE-006,2026-08-29,7019.96,1471.27
EN-20260829-007-835,SITE-007,2026-08-29,12920.37,2746.32
EN-20260829-008-795,SITE-008,2026-08-29,1983.59,641.92
EN-20260829-009-385,SITE-009,2026-08-29,2431.33,458.99
EN-20260829-010-354,SITE-010,2026-08-29,920.33,730.51
EN-20260829-011-241,SITE-011,2026-08-29,3316.72,1218.59
EN-20260829-012-415,SITE-012,2026-08-29,1790.08,655.43
EN-20260829-013-529,SITE-013,2026-08-29,781.21,284.82
EN-20260829-014-890,SITE-014,2026-08-29,9227.08,1211.4
EN-20260829-015-521,SITE-015,2026-08-29,3614.34,1585.88
EN-20260829-016-939,SITE-016,2026-08-29,12439.86,8819.98
EN-20260829-017-901,SITE-017,2026-08-29,3402.3,2423.99
EN-20260829-018-318,SITE-018,2026-08-29,9868.78,6881.84
EN-20260829-019-494,SITE-019,2026-08-29,1808.22,769.71
EN-20260829-020-883,SITE-020,2026-08-29,3426.64,1624.1
EN-20260829-021-428,SITE-021,2026-08-29,1590.34,1037.72
EN-20260829-022-742,SITE-022,2026-08-29,11328.47,1036.99
EN-20260829-023-766,SITE-023,2026-08-29,1185,360.57
EN-20260829-024-785,SITE-024,2026-08-29,14173.52,4799.21
