record_id,site_id,reading_date,energy_kwh,emissions_co2e
EN-20260830-001-613,SITE-001,2026-08-30,1114.9,380.91
EN-20260830-002-111,SITE-002,2026-08-30,9650.87,3286.92
EN-20260830-003-445,SITE-003,2026-08-30,9817.62,3340.82
EN-20260830-004-487,SITE-004,2026-08-30,9916.42,596.25
EN-20260830-005-437,SITE-005,2026-08-30,1229.26,74.91
EN-20260830-006-409,SITE-006,2026-08-30,8953.33,1885.39
EN-20260830-007-426,SITE-007,2026-08-30,12309.81,2600.81
EN-20260830-008-299,SITE-008,2026-08-30,1766.41,581.26
EN-20260830-009-679,SITE-009,2026-08-30,2059.87,395.18
EN-20260830-010-926,SITE-010,2026-08-30,689.38,548.12
EN-20260830-011-923,SITE-011,2026-08-30,2027.94,745.64
EN-20260830-012-491,SITE-012,2026-08-30,1916.25,707.64
EN-20260830-013-884,SITE-013,2026-08-30,770.12,285.64
EN-20260830-014-233,SITE-014,2026-08-30,8425.2,1088.41
EN-20260830-015-524,SITE-015,2026-08-30,2637.78,1155.89
EN-20260830-016-553,SITE-016,2026-08-30,12152.58,8547.21
EN-20260830-017-346,SITE-017,2026-08-30,3946.63,2801.78
EN-20260830-018-532,SITE-018,2026-08-30,6627.28,4789.8
EN-20260830-019-176,SITE-019,2026-08-30,1164.1,495.77
EN-20260830-020-534,SITE-020,2026-08-30,3494.62,1649.51
EN-20260830-021-230,SITE-021,2026-08-30,1952.16,1298.53
EN-20260830-022-876,SITE-022,2026-08-30,11856.22,1075.33
EN-20260830-023-325,SITE-023,2026-08-30,1668.5,511.49
EN-20260830-024-206,SITE-024,2026-08-30,14770.61,5044.4
EN-20260830-025-697,SITE-025,2026-08-30,1906.62,635.79
