record_id,site_id,reading_date,emissions_co2e,scope
CE-20260816-001-525,SITE-001,2026-08-16,355.89,Scope 1+2
CE-20260816-002-476,SITE-002,2026-08-16,2066.34,Scope 1+2
CE-20260816-003-674,SITE-003,2026-08-16,4939.57,Scope 1+2
CE-20260816-004-987,SITE-004,2026-08-16,310.42,Scope 1+2
CE-20260816-005-725,SITE-005,2026-08-16,72.81,Scope 1+2
CE-20260816-006-641,SITE-006,2026-08-16,1851.56,Scope 1+2
CE-20260816-007-619,SITE-007,2026-08-16,2881.24,Scope 1+2
CE-20260816-008-587,SITE-008,2026-08-16,625.72,Scope 1+2
CE-20260816-009-651,SITE-009,2026-08-16,608.88,Scope 1+2
CE-20260816-010-664,SITE-010,2026-08-16,837.94,Scope 1+2
CE-20260816-011-521,SITE-011,2026-08-16,682.72,Scope 1+2
CE-20260816-012-378,SITE-012,2026-08-16,551.6,Scope 1+2
CE-20260816-013-249,SITE-013,2026-08-16,291.41,Scope 1+2
CE-20260816-014-422,SITE-014,2026-08-16,1716.58,Scope 1+2
CE-20260816-015-736,SITE-015,2026-08-16,1414.52,Scope 1+2
CE-20260816-016-450,SITE-016,2026-08-16,9563.86,Scope 1+2
CE-20260816-017-313,SITE-017,2026-08-16,1805.97,Scope 1+2
CE-20260816-018-870,SITE-018,2026-08-16,4208.31,Scope 1+2
CE-20260816-019-600,SITE-019,2026-08-16,551.77,Scope 1+2
CE-20260816-020-372,SITE-020,2026-08-16,930.6,Scope 1+2
CE-20260816-021-473,SITE-021,2026-08-16,827.71,Scope 1+2
CE-20260816-022-422,SITE-022,2026-08-16,802.18,Scope 1+2
CE-20260816-023-366,SITE-023,2026-08-16,424.34,Scope 1+2
CE-20260816-024-650,SITE-024,2026-08-16,4111.59,Scope 1+2
