record_id,site_id,reading_date,emissions_co2e,scope
CE-20260828-001-605,SITE-001,2026-08-28,382.47,Scope 1+2
CE-20260828-002-396,SITE-002,2026-08-28,3948.99,Scope 1+2
CE-20260828-003-256,SITE-003,2026-08-28,4376.93,Scope 1+2
CE-20260828-004-146,SITE-004,2026-08-28,545.3,Scope 1+2
CE-20260828-005-134,SITE-005,2026-08-28,118.21,Scope 1+2
CE-20260828-006-453,SITE-006,2026-08-28,1717.51,Scope 1+2
CE-20260828-007-543,SITE-007,2026-08-28,2708.59,Scope 1+2
CE-20260828-008-153,SITE-008,2026-08-28,744.02,Scope 1+2
CE-20260828-009-437,SITE-009,2026-08-28,370.08,Scope 1+2
CE-20260828-010-124,SITE-010,2026-08-28,1023.23,Scope 1+2
CE-20260828-011-680,SITE-011,2026-08-28,1272.76,Scope 1+2
CE-20260828-012-304,SITE-012,2026-08-28,374.92,Scope 1+2
CE-20260828-013-958,SITE-013,2026-08-28,372.74,Scope 1+2
CE-20260828-014-726,SITE-014,2026-08-28,1589.28,Scope 1+2
CE-20260828-015-320,SITE-015,2026-08-28,1171.25,Scope 1+2
CE-20260828-016-336,SITE-016,2026-08-28,9939.16,Scope 1+2
CE-20260828-017-597,SITE-017,2026-08-28,2787.36,Scope 1+2
CE-20260828-018-150,SITE-018,2026-08-28,6659.64,Scope 1+2
CE-20260828-019-703,SITE-019,2026-08-28,446.36,Scope 1+2
CE-20260828-020-390,SITE-020,2026-08-28,1023.88,Scope 1+2
CE-20260828-021-445,SITE-021,2026-08-28,722.77,Scope 1+2
CE-20260828-022-368,SITE-022,2026-08-28,1146.86,Scope 1+2
CE-20260828-023-625,SITE-023,2026-08-28,382.44,Scope 1+2
CE-20260828-024-475,SITE-024,2026-08-28,3221.99,Scope 1+2
