record_id,site_id,reading_date,emissions_co2e,scope
CE-20260830-001-696,SITE-001,2026-08-30,383.49,Scope 1+2
CE-20260830-002-591,SITE-002,2026-08-30,3296.59,Scope 1+2
CE-20260830-003-221,SITE-003,2026-08-30,3323.89,Scope 1+2
CE-20260830-004-326,SITE-004,2026-08-30,595.56,Scope 1+2
CE-20260830-005-479,SITE-005,2026-08-30,74.72,Scope 1+2
CE-20260830-006-248,SITE-006,2026-08-30,1877.6,Scope 1+2
CE-20260830-007-883,SITE-007,2026-08-30,2625.6,Scope 1+2
CE-20260830-008-106,SITE-008,2026-08-30,583.46,Scope 1+2
CE-20260830-009-185,SITE-009,2026-08-30,392.6,Scope 1+2
CE-20260830-010-599,SITE-010,2026-08-30,551.14,Scope 1+2
CE-20260830-011-412,SITE-011,2026-08-30,740.44,Scope 1+2
CE-20260830-012-825,SITE-012,2026-08-30,709.07,Scope 1+2
CE-20260830-013-963,SITE-013,2026-08-30,286.76,Scope 1+2
CE-20260830-014-277,SITE-014,2026-08-30,1097.91,Scope 1+2
CE-20260830-015-352,SITE-015,2026-08-30,1158.44,Scope 1+2
CE-20260830-016-948,SITE-016,2026-08-30,8475.99,Scope 1+2
CE-20260830-017-122,SITE-017,2026-08-30,2799.57,Scope 1+2
CE-20260830-018-241,SITE-018,2026-08-30,4799.85,Scope 1+2
CE-20260830-019-324,SITE-019,2026-08-30,497.01,Scope 1+2
CE-20260830-020-924,SITE-020,2026-08-30,1663.39,Scope 1+2
CE-20260830-021-621,SITE-021,2026-08-30,1296.62,Scope 1+2
CE-20260830-022-606,SITE-022,2026-08-30,1071.56,Scope 1+2
CE-20260830-023-524,SITE-023,2026-08-30,507.61,Scope 1+2
CE-20260830-024-450,SITE-024,2026-08-30,5055.45,Scope 1+2
CE-20260830-025-503,SITE-025,2026-08-30,632.04,Scope 1+2
