record_id,site_id,reading_date,energy_kwh,emissions_co2e
EN-20260821-001-266,SITE-001,2026-08-21,963.87,329.6
EN-20260821-002-134,SITE-002,2026-08-21,7947,2724.55
EN-20260821-003-649,SITE-003,2026-08-21,12991.42,4475.57
EN-20260821-004-259,SITE-004,2026-08-21,5928.94,361.69
EN-20260821-005-779,SITE-005,2026-08-21,1198.17,71.12
EN-20260821-006-617,SITE-006,2026-08-21,6352.87,1315.43
EN-20260821-007-289,SITE-007,2026-08-21,10448.68,2157.19
EN-20260821-008-356,SITE-008,2026-08-21,2495,822
EN-20260821-009-911,SITE-009,2026-08-21,1598.79,301.83
EN-20260821-010-769,SITE-010,2026-08-21,768.61,607.02
EN-20260821-011-308,SITE-011,2026-08-21,3578.02,1316.94
EN-20260821-012-525,SITE-012,2026-08-21,1263.34,463.07
EN-20260821-013-199,SITE-013,2026-08-21,1357.13,497.57
EN-20260821-014-614,SITE-014,2026-08-21,8413.16,1087.96
EN-20260821-015-914,SITE-015,2026-08-21,2161.02,956.93
EN-20260821-016-146,SITE-016,2026-08-21,12218.93,8845.97
EN-20260821-017-104,SITE-017,2026-08-21,2114.71,1513.88
EN-20260821-018-923,SITE-018,2026-08-21,5616.03,3945.86
EN-20260821-019-161,SITE-019,2026-08-21,836.49,349.54
EN-20260821-020-535,SITE-020,2026-08-21,3526.79,1626.63
EN-20260821-021-488,SITE-021,2026-08-21,1696.76,1133.51
EN-20260821-022-962,SITE-022,2026-08-21,8806.72,799.72
EN-20260821-023-154,SITE-023,2026-08-21,1323.98,411.94
EN-20260821-024-115,SITE-024,2026-08-21,9207.06,3075.08
