record_id,site_id,reading_date,energy_kwh,emissions_co2e
EN-20260818-001-575,SITE-001,2026-08-18,2026.93,683.21
EN-20260818-002-747,SITE-002,2026-08-18,7335.35,2458.45
EN-20260818-003-994,SITE-003,2026-08-18,9264.16,3090.05
EN-20260818-004-258,SITE-004,2026-08-18,9449,575.91
EN-20260818-005-330,SITE-005,2026-08-18,1243.99,73.77
EN-20260818-006-735,SITE-006,2026-08-18,7564.4,1600.76
EN-20260818-007-547,SITE-007,2026-08-18,12004.41,2484.86
EN-20260818-008-867,SITE-008,2026-08-18,1083.71,351.35
EN-20260818-009-166,SITE-009,2026-08-18,3522.14,679.68
EN-20260818-010-996,SITE-010,2026-08-18,1438.37,1112.63
EN-20260818-011-525,SITE-011,2026-08-18,3992.54,1491.8
EN-20260818-012-775,SITE-012,2026-08-18,1556.98,576.86
EN-20260818-013-880,SITE-013,2026-08-18,1424.78,536.65
EN-20260818-014-712,SITE-014,2026-08-18,10539.33,1379.83
EN-20260818-015-514,SITE-015,2026-08-18,1728.46,754.46
EN-20260818-016-958,SITE-016,2026-08-18,8824.04,6280.98
EN-20260818-017-705,SITE-017,2026-08-18,2245.49,1623.45
EN-20260818-018-738,SITE-018,2026-08-18,10346.44,7434.46
EN-20260818-019-477,SITE-019,2026-08-18,1328.4,561
EN-20260818-020-872,SITE-020,2026-08-18,3961.75,1848.55
EN-20260818-021-196,SITE-021,2026-08-18,1276.91,846.27
EN-20260818-022-827,SITE-022,2026-08-18,12830.42,1155.6
EN-20260818-023-764,SITE-023,2026-08-18,828.93,259.49
EN-20260818-024-283,SITE-024,2026-08-18,8531.38,2883.56
