record_id,site_id,reading_date,emissions_co2e,scope
CE-20260824-001-150,SITE-001,2026-08-24,851.15,Scope 1+2
CE-20260824-002-480,SITE-002,2026-08-24,1947.6,Scope 1+2
CE-20260824-003-822,SITE-003,2026-08-24,4453.97,Scope 1+2
CE-20260824-004-442,SITE-004,2026-08-24,543.08,Scope 1+2
CE-20260824-005-196,SITE-005,2026-08-24,86.63,Scope 1+2
CE-20260824-006-757,SITE-006,2026-08-24,2374.76,Scope 1+2
CE-20260824-007-530,SITE-007,2026-08-24,2870.46,Scope 1+2
CE-20260824-008-134,SITE-008,2026-08-24,543.17,Scope 1+2
CE-20260824-009-896,SITE-009,2026-08-24,421.88,Scope 1+2
CE-20260824-010-191,SITE-010,2026-08-24,998.14,Scope 1+2
CE-20260824-011-371,SITE-011,2026-08-24,1008.93,Scope 1+2
CE-20260824-012-350,SITE-012,2026-08-24,510.4,Scope 1+2
CE-20260824-013-642,SITE-013,2026-08-24,227.96,Scope 1+2
CE-20260824-014-558,SITE-014,2026-08-24,1465.86,Scope 1+2
CE-20260824-015-228,SITE-015,2026-08-24,1652.15,Scope 1+2
CE-20260824-016-288,SITE-016,2026-08-24,10367.73,Scope 1+2
CE-20260824-017-529,SITE-017,2026-08-24,1783.36,Scope 1+2
CE-20260824-018-190,SITE-018,2026-08-24,4186.04,Scope 1+2
CE-20260824-019-787,SITE-019,2026-08-24,597.75,Scope 1+2
CE-20260824-020-592,SITE-020,2026-08-24,1122.82,Scope 1+2
CE-20260824-021-931,SITE-021,2026-08-24,1105.51,Scope 1+2
CE-20260824-022-375,SITE-022,2026-08-24,1028.39,Scope 1+2
CE-20260824-023-774,SITE-023,2026-08-24,558.55,Scope 1+2
CE-20260824-024-699,SITE-024,2026-08-24,3420.7,Scope 1+2
