record_id,site_id,reading_date,emissions_co2e,scope
CE-20260823-001-223,SITE-001,2026-08-23,719.39,Scope 1+2
CE-20260823-002-231,SITE-002,2026-08-23,3267.22,Scope 1+2
CE-20260823-003-122,SITE-003,2026-08-23,4443.49,Scope 1+2
CE-20260823-004-868,SITE-004,2026-08-23,470.74,Scope 1+2
CE-20260823-005-242,SITE-005,2026-08-23,61.61,Scope 1+2
CE-20260823-006-961,SITE-006,2026-08-23,1596.53,Scope 1+2
CE-20260823-007-559,SITE-007,2026-08-23,2173.7,Scope 1+2
CE-20260823-008-622,SITE-008,2026-08-23,646.77,Scope 1+2
CE-20260823-009-210,SITE-009,2026-08-23,424.13,Scope 1+2
CE-20260823-010-799,SITE-010,2026-08-23,1015.79,Scope 1+2
CE-20260823-011-214,SITE-011,2026-08-23,596.75,Scope 1+2
CE-20260823-012-667,SITE-012,2026-08-23,726.52,Scope 1+2
CE-20260823-013-613,SITE-013,2026-08-23,432.54,Scope 1+2
CE-20260823-014-550,SITE-014,2026-08-23,1688.11,Scope 1+2
CE-20260823-015-887,SITE-015,2026-08-23,1275.26,Scope 1+2
CE-20260823-016-772,SITE-016,2026-08-23,10151,Scope 1+2
CE-20260823-017-701,SITE-017,2026-08-23,2124.08,Scope 1+2
CE-20260823-018-311,SITE-018,2026-08-23,6908.66,Scope 1+2
CE-20260823-019-594,SITE-019,2026-08-23,800.21,Scope 1+2
CE-20260823-020-283,SITE-020,2026-08-23,1374.94,Scope 1+2
CE-20260823-021-945,SITE-021,2026-08-23,639.81,Scope 1+2
CE-20260823-022-696,SITE-022,2026-08-23,959.44,Scope 1+2
CE-20260823-023-434,SITE-023,2026-08-23,287.42,Scope 1+2
CE-20260823-024-322,SITE-024,2026-08-23,3701.98,Scope 1+2
