record_id,site_id,reading_date,emissions_co2e,scope
CE-20260827-001-165,SITE-001,2026-08-27,383.63,Scope 1+2
CE-20260827-002-555,SITE-002,2026-08-27,3470.07,Scope 1+2
CE-20260827-003-166,SITE-003,2026-08-27,3565.53,Scope 1+2
CE-20260827-004-913,SITE-004,2026-08-27,532.92,Scope 1+2
CE-20260827-005-151,SITE-005,2026-08-27,125.22,Scope 1+2
CE-20260827-006-764,SITE-006,2026-08-27,1041.71,Scope 1+2
CE-20260827-007-190,SITE-007,2026-08-27,2412.16,Scope 1+2
CE-20260827-008-281,SITE-008,2026-08-27,397.87,Scope 1+2
CE-20260827-009-948,SITE-009,2026-08-27,545.51,Scope 1+2
CE-20260827-010-636,SITE-010,2026-08-27,1205.51,Scope 1+2
CE-20260827-011-778,SITE-011,2026-08-27,772.47,Scope 1+2
CE-20260827-012-839,SITE-012,2026-08-27,397.3,Scope 1+2
CE-20260827-013-831,SITE-013,2026-08-27,550.05,Scope 1+2
CE-20260827-014-840,SITE-014,2026-08-27,1454.22,Scope 1+2
CE-20260827-015-668,SITE-015,2026-08-27,1121.7,Scope 1+2
CE-20260827-016-243,SITE-016,2026-08-27,7288.95,Scope 1+2
CE-20260827-017-670,SITE-017,2026-08-27,1940.97,Scope 1+2
CE-20260827-018-602,SITE-018,2026-08-27,4360.42,Scope 1+2
CE-20260827-019-698,SITE-019,2026-08-27,492.63,Scope 1+2
CE-20260827-020-638,SITE-020,2026-08-27,1346.89,Scope 1+2
CE-20260827-021-131,SITE-021,2026-08-27,893.71,Scope 1+2
CE-20260827-022-403,SITE-022,2026-08-27,1234.51,Scope 1+2
CE-20260827-023-755,SITE-023,2026-08-27,619.49,Scope 1+2
CE-20260827-024-427,SITE-024,2026-08-27,4023.13,Scope 1+2
