record_id,site_id,reading_date,energy_kwh,emissions_co2e
EN-20260823-001-675,,2026-08-23,2137.57,718.09
EN-20260823-002-593,,2026-08-23,9510.1,3276.82
EN-20260823-003-531,SITE-003,2026-08-23,13204.18,4425.97
EN-20260823-004-772,SITE-004,2026-08-23,7990.06,474.02
EN-20260823-005-832,SITE-005,2026-08-23,1033.26,61.47
EN-20260823-006-909,SITE-006,2026-08-23,7640.64,1597.67
EN-20260823-007-150,SITE-007,2026-08-23,10467.52,2178.71
EN-20260823-008-262,SITE-008,2026-08-23,1969.62,643.44
EN-20260823-009-731,SITE-009,2026-08-23,2191.04,424.35
EN-20260823-010-328,SITE-010,2026-08-23,1285.39,1021.96
EN-20260823-011-242,SITE-011,2026-08-23,1629.6,594.73
EN-20260823-012-967,SITE-012,2026-08-23,1970.41,725.09
EN-20260823-013-299,SITE-013,2026-08-23,1146.24,432.17
EN-20260823-014-710,SITE-014,2026-08-23,13177.11,1705.12
EN-20260823-015-860,SITE-015,2026-08-23,2860.15,1273.54
EN-20260823-016-664,SITE-016,2026-08-23,14131.36,10068.91
EN-20260823-017-839,SITE-017,2026-08-23,3061.55,2133.53
EN-20260823-018-195,SITE-018,2026-08-23,9800.3,6969.65
EN-20260823-019-306,SITE-019,2026-08-23,1921.44,801.13
EN-20260823-020-663,SITE-020,2026-08-23,2965.94,1369.34
EN-20260823-021-656,SITE-021,2026-08-23,979.79,639.18
EN-20260823-022-211,SITE-022,2026-08-23,10535.91,956.27
EN-20260823-023-383,SITE-023,2026-08-23,922.84,284.81
EN-20260823-024-217,SITE-024,2026-08-23,10816.89,3701.89
