record_id,site_id,reading_date,energy_kwh,emissions_co2e
EN-20260817-001-286,SITE-001,2026-08-17,2229.36,770.8
EN-20260817-002-836,SITE-002,2026-08-17,8143.36,2746.38
EN-20260817-003-784,SITE-003,2026-08-17,11498.33,3965.63
EN-20260817-004-405,SITE-004,2026-08-17,5720.98,337.01
EN-20260817-005-963,SITE-005,2026-08-17,2289.49,134.68
EN-20260817-006-627,SITE-006,2026-08-17,11348.63,2374.24
EN-20260817-007-437,SITE-007,2026-08-17,8272.03,1741.82
EN-20260817-008-749,SITE-008,2026-08-17,2068.45,694.34
EN-20260817-009-715,SITE-009,2026-08-17,3249.25,617.6
EN-20260817-010-432,SITE-010,2026-08-17,1106.54,852.31
EN-20260817-011-672,SITE-011,2026-08-17,3557.61,1303.78
EN-20260817-012-987,SITE-012,2026-08-17,1823.58,671.96
EN-20260817-013-968,SITE-013,2026-08-17,985.04,366.66
EN-20260817-014-936,SITE-014,2026-08-17,10418.05,1356.5
EN-20260817-015-898,SITE-015,2026-08-17,2355.52,1044.07
EN-20260817-016-578,SITE-016,2026-08-17,8231.54,5834.97
EN-20260817-017-973,SITE-017,2026-08-17,2085.71,1499.92
EN-20260817-018-577,SITE-018,2026-08-17,8625.35,6133.32
EN-20260817-019-519,SITE-019,2026-08-17,892.61,367.81
EN-20260817-020-384,SITE-020,2026-08-17,3548.37,1672.44
EN-20260817-021-422,SITE-021,2026-08-17,934.11,617.05
EN-20260817-022-972,SITE-022,2026-08-17,9805.46,881.73
EN-20260817-023-283,SITE-023,2026-08-17,1715.81,533.54
EN-20260817-024-678,SITE-024,2026-08-17,11437.43,3864.02
