2026-08-29 21:43:35 | INFO | orchestrator | B-20260819-01 | - | Starting DAG esg_daily_ingestion for 2026-08-19 (trigger=seed)
2026-08-29 21:43:35 | INFO | sensor | B-20260819-01 | esg_daily_ingestion.file_sensor_task.B-20260819-01 | Detected incoming file energy_consumption_2026-08-19.csv (1493 bytes)
2026-08-29 21:43:35 | INFO | dq | B-20260819-01 | esg_daily_ingestion.file_sensor_task.B-20260819-01 | Check sla_check [PASS/HIGH] on file_ingestion_log.received_at
2026-08-29 21:43:35 | INFO | sensor | B-20260819-01 | esg_daily_ingestion.file_sensor_task.B-20260819-01 | Detected incoming file carbon_emissions_2026-08-19.csv (1428 bytes)
2026-08-29 21:43:35 | INFO | dq | B-20260819-01 | esg_daily_ingestion.file_sensor_task.B-20260819-01 | Check sla_check [PASS/HIGH] on file_ingestion_log.received_at
2026-08-29 21:43:35 | INFO | sensor | B-20260819-01 | esg_daily_ingestion.file_sensor_task.B-20260819-01 | Detected incoming file site_master_2026-08-19.csv (1646 bytes)
2026-08-29 21:43:35 | INFO | dq | B-20260819-01 | esg_daily_ingestion.file_sensor_task.B-20260819-01 | Check sla_check [PASS/HIGH] on file_ingestion_log.received_at
2026-08-29 21:43:35 | INFO | file_sensor_task | B-20260819-01 | esg_daily_ingestion.file_sensor_task.B-20260819-01 | Task SUCCESS
2026-08-29 21:43:35 | INFO | ingest | B-20260819-01 | esg_daily_ingestion.ingest_and_validate_file_task.B-20260819-01 | Validating energy_consumption_2026-08-19.csv (dataset=energy_consumption)
2026-08-29 21:43:35 | INFO | dq | B-20260819-01 | esg_daily_ingestion.ingest_and_validate_file_task.B-20260819-01 | Check empty_file_check [PASS/CRITICAL] on file_ingestion_log.energy_consumption
2026-08-29 21:43:35 | INFO | dq | B-20260819-01 | esg_daily_ingestion.ingest_and_validate_file_task.B-20260819-01 | Check checksum_validation [PASS/CRITICAL] on file_ingestion_log.energy_consumption
2026-08-29 21:43:35 | INFO | dq | B-20260819-01 | esg_daily_ingestion.ingest_and_validate_file_task.B-20260819-01 | Check schema_header_validation [PASS/CRITICAL] on file_ingestion_log.energy_consumption
2026-08-29 21:43:35 | INFO | dq | B-20260819-01 | esg_daily_ingestion.ingest_and_validate_file_task.B-20260819-01 | Check row_count_check [PASS/HIGH] on file_ingestion_log.energy_consumption
2026-08-29 21:43:35 | INFO | ingest | B-20260819-01 | esg_daily_ingestion.ingest_and_validate_file_task.B-20260819-01 | Validated energy_consumption_2026-08-19.csv (26 data rows)
2026-08-29 21:43:35 | INFO | ingest | B-20260819-01 | esg_daily_ingestion.ingest_and_validate_file_task.B-20260819-01 | Validating carbon_emissions_2026-08-19.csv (dataset=carbon_emissions)
2026-08-29 21:43:35 | INFO | dq | B-20260819-01 | esg_daily_ingestion.ingest_and_validate_file_task.B-20260819-01 | Check empty_file_check [PASS/CRITICAL] on file_ingestion_log.carbon_emissions
2026-08-29 21:43:35 | INFO | dq | B-20260819-01 | esg_daily_ingestion.ingest_and_validate_file_task.B-20260819-01 | Check checksum_validation [PASS/CRITICAL] on file_ingestion_log.carbon_emissions
2026-08-29 21:43:35 | INFO | dq | B-20260819-01 | esg_daily_ingestion.ingest_and_validate_file_task.B-20260819-01 | Check schema_header_validation [PASS/CRITICAL] on file_ingestion_log.carbon_emissions
2026-08-29 21:43:35 | INFO | dq | B-20260819-01 | esg_daily_ingestion.ingest_and_validate_file_task.B-20260819-01 | Check row_count_check [PASS/HIGH] on file_ingestion_log.carbon_emissions
2026-08-29 21:43:35 | INFO | ingest | B-20260819-01 | esg_daily_ingestion.ingest_and_validate_file_task.B-20260819-01 | Validated carbon_emissions_2026-08-19.csv (24 data rows)
2026-08-29 21:43:35 | INFO | ingest | B-20260819-01 | esg_daily_ingestion.ingest_and_validate_file_task.B-20260819-01 | Validating site_master_2026-08-19.csv (dataset=site_master)
2026-08-29 21:43:35 | INFO | dq | B-20260819-01 | esg_daily_ingestion.ingest_and_validate_file_task.B-20260819-01 | Check empty_file_check [PASS/CRITICAL] on file_ingestion_log.site_master
2026-08-29 21:43:35 | INFO | dq | B-20260819-01 | esg_daily_ingestion.ingest_and_validate_file_task.B-20260819-01 | Check checksum_validation [PASS/CRITICAL] on file_ingestion_log.site_master
2026-08-29 21:43:35 | INFO | dq | B-20260819-01 | esg_daily_ingestion.ingest_and_validate_file_task.B-20260819-01 | Check schema_header_validation [PASS/CRITICAL] on file_ingestion_log.site_master
2026-08-29 21:43:35 | INFO | dq | B-20260819-01 | esg_daily_ingestion.ingest_and_validate_file_task.B-20260819-01 | Check row_count_check [PASS/HIGH] on file_ingestion_log.site_master
2026-08-29 21:43:35 | INFO | ingest | B-20260819-01 | esg_daily_ingestion.ingest_and_validate_file_task.B-20260819-01 | Validated site_master_2026-08-19.csv (24 data rows)
2026-08-29 21:43:35 | INFO | ingest_and_validate_file_task | B-20260819-01 | esg_daily_ingestion.ingest_and_validate_file_task.B-20260819-01 | Task SUCCESS
2026-08-29 21:43:35 | INFO | etl | B-20260819-01 | esg_daily_ingestion.load_staging_task.B-20260819-01 | Loading energy_consumption_2026-08-19.csv into staging
2026-08-29 21:43:35 | INFO | etl | B-20260819-01 | esg_daily_ingestion.load_staging_task.B-20260819-01 | Staged energy_consumption_2026-08-19.csv: 24 valid / 2 rejected rows
2026-08-29 21:43:35 | INFO | etl | B-20260819-01 | esg_daily_ingestion.load_staging_task.B-20260819-01 | Loading carbon_emissions_2026-08-19.csv into staging
2026-08-29 21:43:35 | INFO | etl | B-20260819-01 | esg_daily_ingestion.load_staging_task.B-20260819-01 | Staged carbon_emissions_2026-08-19.csv: 24 valid / 0 rejected rows
2026-08-29 21:43:35 | INFO | etl | B-20260819-01 | esg_daily_ingestion.load_staging_task.B-20260819-01 | Loading site_master_2026-08-19.csv into staging
2026-08-29 21:43:35 | INFO | etl | B-20260819-01 | esg_daily_ingestion.load_staging_task.B-20260819-01 | Staged site_master_2026-08-19.csv: 24 valid / 0 rejected rows
2026-08-29 21:43:35 | INFO | load_staging_task | B-20260819-01 | esg_daily_ingestion.load_staging_task.B-20260819-01 | Task SUCCESS
2026-08-29 21:43:35 | INFO | dq | B-20260819-01 | esg_daily_ingestion.run_data_quality_checks_task.B-20260819-01 | Check null_check_mandatory [PASS/HIGH] on staging_energy_data.record_id,site_id,reading_date,energy_kwh
2026-08-29 21:43:35 | INFO | dq | B-20260819-01 | esg_daily_ingestion.run_data_quality_checks_task.B-20260819-01 | Check duplicate_record_check [FAIL/MEDIUM] on staging_energy_data.record_id
